Customer_ID,Customer_Name,Gender,Age,Customer_Segment,Purchase_Date,Product_Category,Quantity,Unit_Price,Total_Amount,Payment_Method,Sales_Channel,Region,Weekday,Month,Quarter,Year,Cost_Price,Revenue,Profit,Margin
380c9b17,Robert Macias,Other,41,New,14-03-2025,Groceries,10,483,4830,UPI,App,East,Friday,3,1,2025,339,4828,1435,0.3
3b93db03,Cheryl Robbins,Male,28,Premium,28-10-2023,Clothing,10,1651,16510,Cash,In-Store,South,Saturday,10,4,2023,1460,16511,1908,0.12
7103aa92,Joy Peck,Other,39,New,18-05-2024,Books,10,2380,23800,Credit Card,App,North,Saturday,5,2,2024,1588,23797,7912,0.33
45feed66,Wendy Aguirre,Other,61,Premium,01-08-2024,Groceries,7,3237,22659,Wallet,App,South,Thursday,8,3,2024,2866,22656,2591,0.11
14e5c4a1,Jacob Gutierrez,Male,38,Regular,07-06-2024,Clothing,1,4156,4156,Wallet,Online,East,Friday,6,2,2024,3335,4156,820,0.2
539e8816,Eugene Johnston,Female,37,Premium,15-02-2025,Home Appliances,2,576,1152,UPI,In-Store,North,Saturday,2,1,2025,424,1153,306,0.27
87cfc0fa,Amber Lowe,Female,44,Regular,22-09-2024,Books,3,1547,4641,UPI,Online,North,Sunday,9,3,2024,1382,4642,494,0.11
90a62fe7,Kevin Bailey,Female,21,Premium,30-11-2023,Beauty,2,2028,4056,Cash,Online,West,Thursday,11,4,2023,1308,4055,1440,0.36
c8887f6a,Lee Rodriguez,Female,24,Premium,05-07-2023,Beauty,6,564,3384,Debit Card,App,North,Wednesday,7,3,2023,454,3385,660,0.19
b1dbb9b6,Mark Stewart,Other,59,Premium,29-07-2023,Clothing,1,1570,1570,Cash,Online,South,Saturday,7,3,2023,1062,1570,508,0.32
0b025aa5,Eric Cochran,Male,30,New,13-07-2023,Clothing,1,804,804,UPI,In-Store,East,Thursday,7,3,2023,557,804,247,0.31
8d90e1a8,George Spencer,Other,39,Regular,07-02-2024,Electronics,8,3080,24640,Credit Card,App,East,Wednesday,2,1,2024,2538,24643,4342,0.18
3b3ed4a9,Donna Deleon,Male,23,Premium,19-05-2023,Sports,7,3286,23002,Debit Card,In-Store,South,Friday,5,2,2023,2366,23003,6442,0.28
92a59924,Susan Curtis,Male,28,Premium,22-08-2024,Home Appliances,7,4769,33383,Debit Card,In-Store,West,Thursday,8,3,2024,3089,33385,11760,0.35
2531e9f4,Donald Anderson,Female,54,Regular,21-08-2023,Sports,9,411,3699,Cash,App,South,Monday,8,3,2023,251,3698,1437,0.39
8dc43dde,Frederick Wong,Female,60,New,10-09-2024,Home Appliances,8,2993,23944,Cash,Online,South,Tuesday,9,3,2024,1851,23945,9134,0.38
2c3aed40,Steven Price,Other,36,Regular,22-01-2024,Clothing,4,1531,6124,Debit Card,App,North,Monday,1,1,2024,1199,6124,1327,0.22
a0a098d5,Stephanie Odom,Female,26,Regular,04-02-2025,Clothing,5,1443,7215,Credit Card,App,West,Tuesday,2,1,2025,973,7213,2347,0.33
8094e32e,Amanda Crawford,Other,19,Regular,16-10-2023,Groceries,10,641,6410,Wallet,Online,East,Monday,10,4,2023,523,6408,1175,0.18
9ccdf221,James Bryan,Female,54,Regular,11-01-2025,Beauty,5,2842,14210,Debit Card,App,South,Saturday,1,1,2025,2029,14211,4067,0.29
12ab115e,Robert Porter,Other,24,Regular,09-10-2023,Sports,3,964,2892,UPI,In-Store,East,Monday,10,4,2023,721,2892,728,0.25
143945d3,James Bowman,Female,36,Premium,15-06-2024,Sports,2,1856,3712,UPI,In-Store,West,Saturday,6,2,2024,1455,3713,802,0.22
a4cee44e,Ryan Decker,Male,60,Regular,06-10-2023,Home Appliances,6,2119,12714,UPI,Online,South,Friday,10,4,2023,1630,12715,2934,0.23
42f6b033,Brandon Green,Other,31,New,15-03-2024,Clothing,3,4753,14259,Debit Card,Online,West,Friday,3,1,2024,3435,14259,3956,0.28
62f6fc13,Frank Nunez,Male,36,New,12-10-2024,Home Appliances,9,843,7587,Credit Card,Online,West,Saturday,10,4,2024,681,7583,1455,0.19
a6e8f749,Anthony Gutierrez,Female,41,Premium,13-01-2025,Beauty,2,2298,4596,Debit Card,In-Store,South,Monday,1,1,2025,1407,4596,1783,0.39
df00b4ae,Kevin Schmidt,Female,50,Regular,25-12-2024,Electronics,7,3143,22001,Debit Card,In-Store,East,Wednesday,12,4,2024,2318,21999,5771,0.26
a33ed977,Patricia Warren,Other,22,New,25-03-2024,Home Appliances,1,3824,3824,Credit Card,Online,North,Monday,3,1,2024,2653,3824,1171,0.31
0fa19eab,Matthew Clark,Male,61,Premium,27-10-2023,Groceries,1,155,155,Credit Card,In-Store,West,Friday,10,4,2023,131,155,25,0.16
d1e959c0,Jennifer Vega,Other,53,Premium,11-07-2023,Sports,9,4916,44244,Cash,In-Store,North,Tuesday,7,3,2023,3292,44240,14614,0.33
80bfdf83,Jamie Parker,Female,53,Regular,02-10-2023,Home Appliances,8,4021,32168,Wallet,Online,South,Monday,10,4,2023,3102,32167,7353,0.23
5c24b311,Ryan Alexander,Female,22,New,11-10-2024,Sports,6,1279,7674,Debit Card,Online,North,Friday,10,4,2024,1036,7677,1462,0.19
e421c2e5,Martha Hernandez,Female,61,Regular,29-03-2025,Electronics,2,4510,9020,Debit Card,App,West,Saturday,3,1,2025,3764,9020,1492,0.17
16f25c51,Kelli Myers,Male,56,New,01-11-2024,Groceries,10,4335,43350,Cash,Online,East,Friday,11,4,2024,3880,43354,4557,0.11
8839a193,Charlene Ayala,Other,35,Premium,28-08-2024,Sports,1,957,957,Cash,In-Store,East,Wednesday,8,3,2024,750,957,207,0.22
02b889c7,William Guerra,Female,39,Premium,16-08-2024,Sports,3,112,336,Debit Card,App,West,Friday,8,3,2024,74,335,113,0.34
d9015cc4,Robert Curtis,Male,60,Premium,25-12-2023,Electronics,8,2778,22224,UPI,Online,West,Monday,12,4,2023,2446,22228,2660,0.12
9d27ba1f,Jacob Tyler,Male,24,Premium,03-11-2024,Clothing,2,3254,6508,Wallet,Online,South,Sunday,11,4,2024,2657,6507,1193,0.18
e4756491,Richard Manning,Female,46,Regular,07-01-2024,Electronics,2,4355,8710,Cash,In-Store,West,Sunday,1,1,2024,3482,8710,1745,0.2
c57ad594,Sara James,Other,35,Regular,18-11-2024,Sports,9,4813,43317,Debit Card,Online,South,Monday,11,4,2024,4168,43318,5809,0.13
c21bc0d3,John White,Female,33,New,20-03-2025,Groceries,6,314,1884,Cash,Online,South,Thursday,3,1,2025,216,1882,587,0.31
34686ec4,Angela Nguyen,Male,30,Regular,12-01-2025,Beauty,4,495,1980,Cash,App,North,Sunday,1,1,2025,307,1981,753,0.38
dee822ee,Kimberly Simpson,Female,54,Regular,15-09-2024,Sports,10,1879,18790,Credit Card,Online,South,Sunday,9,3,2024,1246,18792,6337,0.34
2ae43788,Gilbert Knight,Other,18,Regular,14-09-2023,Sports,9,2964,26676,Wallet,App,North,Thursday,9,3,2023,2495,26678,4223,0.16
aac5f115,Christina Fitzgerald,Other,40,New,25-05-2023,Sports,8,121,968,Credit Card,Online,East,Thursday,5,2,2023,91,967,236,0.24
6c1035e4,Matthew Price,Female,63,Regular,09-08-2023,Groceries,5,4167,20835,UPI,Online,East,Wednesday,8,3,2023,3146,20835,5104,0.24
3e2d7080,Bradley Li,Other,55,Premium,04-08-2024,Books,4,1258,5032,Credit Card,Online,South,Sunday,8,3,2024,1055,5033,814,0.16
57d3b64b,Ian Moore,Other,25,Premium,04-03-2024,Beauty,9,3380,30420,Wallet,In-Store,North,Monday,3,1,2024,2272,30417,9969,0.33
460f68f8,Brittany Wilson,Other,48,New,17-05-2024,Sports,6,4235,25410,Credit Card,App,South,Friday,5,2,2024,3717,25409,3109,0.12
183ded62,Andrea James,Male,63,New,13-12-2024,Books,2,2349,4698,Cash,App,North,Friday,12,4,2024,1792,4697,1112,0.24
e1c5dfe6,Henry Maynard,Other,46,Premium,01-11-2023,Books,9,4501,40509,Cash,Online,East,Wednesday,11,4,2023,3761,40509,6659,0.16
6933a2cf,Ashley Smith,Female,32,Regular,28-03-2024,Beauty,1,3204,3204,Credit Card,Online,West,Thursday,3,1,2024,1992,3204,1211,0.38
f7ab5f03,Vincent Nelson,Female,27,New,29-08-2023,Clothing,5,1580,7900,Wallet,Online,West,Tuesday,8,3,2023,1301,7901,1398,0.18
ab4cf378,April Harmon,Female,54,Premium,08-10-2024,Home Appliances,5,3343,16715,Debit Card,Online,East,Tuesday,10,4,2024,2418,16717,4627,0.28
3d0ab493,Louis Berg,Other,41,Premium,30-06-2023,Books,1,4110,4110,Wallet,In-Store,East,Friday,6,2,2023,3108,4110,1002,0.24
27bd969d,Christina Moreno,Female,45,Premium,25-12-2024,Electronics,2,989,1978,UPI,App,East,Wednesday,12,4,2024,602,1978,773,0.39
1fa72a47,Marcus Stewart,Male,31,Premium,24-12-2023,Beauty,6,521,3126,Debit Card,Online,West,Sunday,12,4,2023,389,3124,788,0.25
d4d96b98,Daniel Villegas,Female,34,New,30-09-2023,Electronics,9,1288,11592,UPI,App,East,Saturday,9,3,2023,1037,11589,2258,0.19
ac2899e1,Andrea Ross,Female,29,New,01-08-2023,Home Appliances,8,922,7376,Debit Card,In-Store,East,Tuesday,8,3,2023,561,7377,2889,0.39
323f9525,Mary Riddle,Other,64,Premium,22-07-2023,Beauty,1,2005,2005,Debit Card,Online,East,Saturday,7,3,2023,1669,2005,336,0.17
4e99273c,Harry Maxwell,Male,62,New,15-10-2023,Beauty,2,465,930,UPI,Online,South,Sunday,10,4,2023,328,929,274,0.29
b3353898,Ralph Graves,Female,64,New,13-04-2025,Clothing,6,4689,28134,UPI,In-Store,North,Sunday,4,2,2025,3542,28131,6880,0.24
f422e99b,Benjamin Graham,Female,60,New,02-06-2023,Groceries,6,711,4266,Cash,App,North,Friday,6,2,2023,601,4266,660,0.15
5f55ba62,Kristen Woods,Female,20,Premium,13-02-2025,Clothing,5,1080,5400,Debit Card,App,West,Thursday,2,1,2025,827,5398,1264,0.23
f6d204a6,James Ochoa,Female,52,Premium,20-04-2024,Groceries,8,4124,32992,Cash,App,West,Saturday,4,2,2024,3036,32989,8703,0.26
ade136c5,Karen Garner,Female,56,Premium,01-06-2023,Beauty,1,3615,3615,Wallet,App,East,Thursday,6,2,2023,2410,3615,1205,0.33
dedfd1a9,Jeffrey King,Male,54,Premium,08-02-2025,Electronics,3,1286,3858,Wallet,Online,South,Saturday,2,1,2025,854,3858,1294,0.34
e26a7e0c,Dr. Kristen Sanchez,Other,58,Regular,10-11-2023,Home Appliances,4,4006,16024,Credit Card,Online,South,Friday,11,4,2023,2856,16024,4601,0.29
71ce1cfc,Robert Friedman,Other,18,Regular,03-03-2024,Sports,1,4970,4970,Debit Card,Online,West,Sunday,3,1,2024,3339,4970,1630,0.33
26ab7472,Jeffrey Webb,Other,60,New,19-06-2024,Home Appliances,6,2935,17610,Cash,In-Store,West,Wednesday,6,2,2024,2047,17608,5327,0.3
8b3872d2,Brad West,Male,34,New,01-06-2023,Electronics,8,4828,38624,Cash,Online,West,Thursday,6,2,2023,3788,38621,8320,0.22
5f9d6a82,Elizabeth Wilson,Male,31,Premium,22-12-2023,Sports,5,1335,6675,Cash,Online,North,Friday,12,4,2023,967,6673,1840,0.28
9850f707,Selena Wilson,Other,59,Premium,05-01-2025,Sports,2,290,580,Wallet,In-Store,East,Sunday,1,1,2025,206,579,168,0.29
9dd5391a,Dr. Vanessa Moon,Other,47,New,26-06-2024,Groceries,9,4557,41013,Cash,Online,West,Wednesday,6,2,2024,3464,41015,9837,0.24
96a92eae,Shirley Bowers,Male,53,New,30-03-2024,Electronics,9,614,5526,Cash,App,South,Saturday,3,1,2024,536,5523,698,0.13
c7276418,Jennifer Martinez,Other,33,Regular,02-04-2024,Books,5,3190,15950,UPI,App,South,Tuesday,4,2,2024,2245,15952,4729,0.3
3272a19d,Stephen Medina,Male,37,Regular,01-03-2025,Groceries,7,4399,30793,Cash,App,East,Saturday,3,1,2025,3328,30793,7501,0.24
d161f22c,Jeffrey Garrett,Male,37,Regular,26-09-2024,Electronics,9,2502,22518,UPI,Online,North,Thursday,9,3,2024,2251,22519,2264,0.1
36f08bae,Patrick Mercado,Male,42,Regular,14-07-2023,Home Appliances,6,2553,15318,Cash,Online,East,Friday,7,3,2023,1923,15315,3780,0.25
eb55bd87,Jacob Phillips DVM,Male,19,New,25-10-2023,Electronics,4,3501,14004,Wallet,App,South,Wednesday,10,4,2023,3042,14004,1835,0.13
0ea0dc83,Tony Villa,Other,65,Regular,23-05-2024,Clothing,8,691,5528,Cash,In-Store,East,Thursday,5,2,2024,606,5530,678,0.12
a67c851e,Catherine Black,Other,29,New,10-02-2024,Groceries,5,2862,14310,Cash,App,North,Saturday,2,1,2024,1730,14309,5658,0.4
c05027d4,Tabitha Williams,Female,36,Regular,16-10-2024,Electronics,3,2541,7623,Debit Card,In-Store,East,Wednesday,10,4,2024,2152,7624,1169,0.15
f0383dd6,Tracy Guzman,Other,62,Premium,29-09-2023,Books,6,2116,12696,Wallet,App,West,Friday,9,3,2023,1355,12695,4564,0.36
624eba62,Robert Martin,Female,23,Regular,18-06-2023,Electronics,4,3129,12516,UPI,In-Store,North,Sunday,6,2,2023,2061,12515,4272,0.34
8da47eb9,Alexis Beasley,Male,35,Premium,09-03-2025,Electronics,6,2741,16446,Debit Card,In-Store,North,Sunday,3,1,2025,2312,16449,2579,0.16
5f22d6d8,Bradley Ferguson,Other,50,New,24-01-2025,Home Appliances,1,4130,4130,Debit Card,App,West,Friday,1,1,2025,3233,4130,897,0.22
1c88fe6d,Ryan Henry,Male,65,Premium,10-02-2024,Sports,7,4385,30695,Wallet,App,West,Saturday,2,1,2024,3648,30692,5155,0.17
8e1421bc,Manuel Vasquez,Male,27,Premium,04-11-2024,Sports,2,113,226,UPI,App,East,Monday,11,4,2024,71,227,84,0.37
df9d9c6e,William Lee,Male,22,New,27-08-2023,Sports,5,4519,22595,Wallet,App,West,Sunday,8,3,2023,3085,22594,7167,0.32
69373b03,Carrie Carpenter,Other,35,New,12-08-2023,Electronics,2,4698,9396,UPI,App,North,Saturday,8,3,2023,4044,9396,1309,0.14
59cd6a67,Sharon Mendez,Other,35,New,22-05-2024,Home Appliances,5,2652,13260,Cash,Online,North,Wednesday,5,2,2024,2242,13262,2053,0.15
5792a33a,Pamela Grant,Female,41,New,02-06-2024,Groceries,9,2357,21213,Debit Card,In-Store,North,Sunday,6,2,2024,1830,21213,4740,0.22
1bd80f48,Desiree Andrews,Male,26,Premium,23-07-2024,Home Appliances,4,350,1400,Debit Card,App,North,Tuesday,7,3,2024,244,1399,422,0.3
7c841276,Christopher Bradley,Other,25,New,03-03-2024,Home Appliances,10,3981,39810,Debit Card,App,West,Sunday,3,1,2024,3578,39814,4038,0.1
37404c22,Michelle Miller,Male,18,Premium,03-07-2024,Books,9,2550,22950,Wallet,In-Store,West,Wednesday,7,3,2024,1805,22946,6699,0.29
bd35496b,Nicole Williams,Other,41,New,16-08-2024,Sports,6,3146,18876,UPI,App,North,Friday,8,3,2024,2299,18874,5078,0.27
7a9fe0b7,Charles Merritt,Male,32,New,14-06-2023,Clothing,7,3217,22519,Debit Card,In-Store,North,Wednesday,6,2,2023,2428,22519,5526,0.25
925ed3c4,Amber Perry,Male,20,New,12-03-2024,Clothing,1,1416,1416,UPI,In-Store,South,Tuesday,3,1,2024,947,1416,469,0.33
81cc23fa,Nathan Hurst,Other,19,New,02-12-2023,Sports,10,3042,30420,Wallet,Online,West,Saturday,12,4,2023,2354,30416,6876,0.23
08055a13,Mrs. Jodi Ellis,Female,40,Regular,03-10-2024,Beauty,3,4357,13071,Cash,Online,West,Thursday,10,4,2024,3417,13071,2820,0.22
a79c0ce4,Madison Alvarez,Other,22,Regular,18-02-2025,Clothing,5,4416,22080,Debit Card,Online,North,Tuesday,2,1,2025,2676,22080,8700,0.39
74ae3e7c,Leslie Guzman,Male,33,Regular,22-02-2024,Beauty,4,3791,15164,Credit Card,App,North,Thursday,2,1,2024,3331,15165,1840,0.12
7baa5d2c,Brianna Walsh,Other,36,Premium,02-11-2023,Sports,3,724,2172,Credit Card,In-Store,North,Thursday,11,4,2023,648,2172,229,0.11
d7f11b05,Michele Taylor,Male,24,Regular,12-11-2024,Sports,2,839,1678,Cash,In-Store,North,Tuesday,11,4,2024,689,1677,300,0.18
9530e604,Melissa Le,Male,58,Premium,14-04-2024,Home Appliances,1,2878,2878,Credit Card,Online,South,Sunday,4,2,2024,2007,2878,871,0.3
a7edef85,Valerie Taylor,Male,18,Premium,20-10-2023,Beauty,9,914,8226,Debit Card,App,South,Friday,10,4,2023,561,8229,3180,0.39
8.27E+06,Janet Valdez,Other,41,New,12-10-2023,Books,4,4950,19800,UPI,In-Store,East,Thursday,10,4,2023,3510,19800,5758,0.29
3fabbbe5,Emily Ball,Male,59,New,30-08-2023,Home Appliances,10,1193,11930,Cash,In-Store,West,Wednesday,8,3,2023,883,11929,3101,0.26
a8b2eb7e,Elizabeth Brooks,Male,34,New,22-01-2024,Beauty,10,2950,29500,Cash,App,West,Monday,1,1,2024,2214,29501,7362,0.25
21368de8,Christopher Farrell,Female,48,New,25-09-2024,Sports,6,3543,21258,Debit Card,In-Store,West,Wednesday,9,3,2024,2136,21258,8440,0.4
5e231642,Nancy Howard,Male,23,New,15-07-2024,Sports,2,3067,6134,Cash,In-Store,East,Monday,7,3,2024,2511,6133,1112,0.18
b9b8398e,Timothy Mendoza,Male,39,Premium,01-04-2024,Clothing,5,3400,17000,Debit Card,In-Store,South,Monday,4,2,2024,2173,17001,6137,0.36
6a37eca8,Mr. Thomas Mitchell,Female,44,New,02-08-2024,Sports,10,656,6560,UPI,Online,West,Friday,8,3,2024,553,6560,1026,0.16
5a9bcdb9,Shelby Fitzpatrick,Female,27,Regular,20-08-2024,Beauty,10,4251,42510,Wallet,App,East,Tuesday,8,3,2024,2693,42507,15578,0.37
c580b8e0,Billy Martin,Female,57,New,18-10-2023,Electronics,10,1707,17070,Debit Card,Online,South,Wednesday,10,4,2023,1414,17075,2938,0.17
c4cc8546,William Moreno,Male,23,Regular,20-12-2023,Beauty,5,937,4685,Wallet,Online,South,Wednesday,12,4,2023,779,4685,788,0.17
fff58aee,Meghan Dixon,Female,42,New,06-09-2023,Home Appliances,8,3781,30248,UPI,App,North,Wednesday,9,3,2023,2667,30248,8909,0.29
5366fd9e,Hunter Hill,Female,63,New,30-11-2024,Electronics,7,1314,9198,Credit Card,App,West,Saturday,11,4,2024,1083,9200,1621,0.18
1d1c521c,Dana Blankenship,Other,46,New,03-03-2024,Home Appliances,10,438,4380,Cash,In-Store,North,Sunday,3,1,2024,356,4379,817,0.19
3518a274,Robert Bentley,Female,45,Premium,05-01-2025,Groceries,9,232,2088,Debit Card,In-Store,East,Sunday,1,1,2025,159,2086,654,0.31
c0fd96e9,Rebecca White,Other,25,Regular,13-02-2024,Clothing,9,2669,24021,Wallet,Online,West,Tuesday,2,1,2024,1640,24017,9260,0.39
7e959984,John Jones,Male,52,New,04-10-2023,Electronics,9,3413,30717,Cash,Online,East,Wednesday,10,4,2023,2653,30715,6839,0.22
497c2d0d,James Watson,Male,46,Regular,02-12-2024,Beauty,9,2695,24255,Wallet,In-Store,North,Monday,12,4,2024,1850,24253,7603,0.31
14ba7efd,Christina Williams,Female,30,New,30-05-2023,Clothing,3,3088,9264,Credit Card,App,North,Tuesday,5,2,2023,2015,9263,3218,0.35
46dd1e11,Cynthia Jackson,Male,48,Premium,20-01-2024,Home Appliances,8,2710,21680,Credit Card,App,North,Saturday,1,1,2024,1639,21681,8568,0.4
c5485927,John Garcia,Other,26,Regular,31-08-2024,Electronics,10,2157,21570,Cash,Online,North,Saturday,8,3,2024,1370,21569,7869,0.36
f31e6027,Glenda Gibson,Male,43,Premium,23-08-2023,Groceries,6,1025,6150,Wallet,In-Store,South,Wednesday,8,3,2023,857,6149,1008,0.16
1941bb9d,Sean Lara,Male,40,Premium,06-11-2023,Books,7,3790,26530,Credit Card,Online,North,Monday,11,4,2023,2943,26529,5928,0.22
9d73b1ac,Joyce Nunez,Male,29,Regular,24-06-2023,Groceries,4,2930,11720,Debit Card,App,West,Saturday,6,2,2023,2412,11719,2071,0.18
bf2e8d2a,Regina Dunlap,Male,31,Regular,12-09-2024,Books,5,3316,16580,Cash,Online,East,Thursday,9,3,2024,2167,16578,5743,0.35
5d649b64,Curtis Patel,Other,51,Regular,27-02-2024,Groceries,5,576,2880,Debit Card,In-Store,East,Tuesday,2,1,2024,394,2879,907,0.31
aed45884,Jamie Maldonado,Female,55,New,17-10-2023,Groceries,3,894,2682,Cash,Online,East,Tuesday,10,4,2023,764,2681,387,0.14
